NEXT;FNEXT;SNEXT;GNEXT;Waju;
Comms Timeout;FComms Timeout;SComms Timeout;GComms Timeout;Komunication to dami lohun;
Resending failed transaction. Please press cancel (red button) and wait to abort;FResending Transaction;SResending Transaction;GResending Transaction;Mo tun ise se;
Transaction processed;FTransaction processed;STransaction processed;GTransaction processed;No ti prosesi e;
Transaction not processed;FTransaction not processed;STransaction not processed;GTransaction not processed;Mi o ri prosess;
Server cannot process transaction;FServer cannot process transaction;SServer cannot process transaction;GServer cannot process transaction;Sava ole tun transakson se;
No Data Received;FNo Data Received;SNo Data Received;GNo Data Received;Mi o ri data gba;
TID;FTID;STID;GID;TID;
Bad Kxml syntax;FBad Kxml syntax;SBad Kxml syntax;GBad Kxml syntax;Kxml yii koda;
Error Occured while receiving data;FError Occured while receiving data;SError Occured while receiving data;GError Occured while receiving data;Asise sele nigba ti mon gba data;
Receiving ->;FReceiving ->;SReceiving ->;GReceiving ->;Otigba ->;
Sending(B) ->;FSending(B) ->;SSending(B) ->;GSending(B) ->;Iye ti o tilo(B) ->;
Printing failed transactions;FPrinting failed transactions;SPrinting failed transactions;GPrinting failed transactions;Mo'n printi awon transaksion to baje;
Terminal ID:;FTID:;STID:;GTID:;TID:;
IP:;FIP:;SIP:;GIP:;IP:;
Report:;FApplication:;SApplication:;GApplication:;Anjonu:;
Failed Transaction printing failed;FFailed Transaction printing failed;SFailed Transaction printing failed;GFailed Transaction printing failed;Mi o le printi awon transakson to baje;
Url:;FUrl:;SUrl:;GUrl:;Ile Anjonu:;
Port:;FPort:;SPort:;GPort:;Pooti:;
Failure Code:;FFailure Code:;SFailure Code:;GFailure Code:;Idi Asise;
Please tear receipt. Press any key to continue;FPlease tear receipt Press Enter to continue;SPlease tear receipt Press Enter to continue;GPlease tear receipt Press Enter to continue;Ejo e ya riciti. E te enta lati tesiwaju;
Unknown;FUnknown;SUnknown;GUnknown;Mi o mo;
Trans Id:;Ftrans id:;Strans id:;Gtrans id:;Oruko Oja:;
Date and Time:;FDate and Time:;SDate and Time:;GDate and Time:;Ojo ati igba:;
Init Resp:;FInit Response:;SInit Response:;GInit Response:;Esi akoko:;
Final Resp:;FFinal Resp:;SFinal Resp:;GFinal Resp:;Esi ekeji;
Pending;FPending;SPending;GPending;Ko ti pari;
Press App Number;FPress App Number;SPress App Number;GPress App Number;Te nomba;
No end of day Log;FNo end of day Log;SNo end of day Log;GNo end of day Log;Ko si esi fun ipari ojo;
Select Print Mode;FSelect Print Mode;SSelect Print Mode;GSelect Print Mode;Ibo ni ki te si?;
Paper;FPaper;SPaper;GPaper;Pepa;
Server;FServer;SServer;GServer;Sava;
Select date to print;FSelect date to print;SSelect date to print;GSelect date to print;Te ojo ti o fe ri;
Today;FToday;SToday;GToday;Eni;
Yesterday;FYesterday;SYesterday;GYesterday;Ana;
Select Day;FSelect Day;SSelect Day;GSelect Day;Te Ojo;
Day:;FDay:;SDay:;GDay:;Ojo:;
Month:;FMonth:;SMonth:;GMonth:;Osu:;
Year:;FYear:;SYear:;GYear:;Odun:;
No End of Day log matches your search criteria;FNo End of Day log matches your search criteria;SNo End of Day log matches your search criteria;GNo End of Day log matches your search criteria;Ko si iwe ipari ojo fun akoko yii;
Printer paper finished. Please put more paper;FPrinter paper finished. Please put more paper;GPrinter paper finished. Please put more paper;SPrinter paper finished. Please put more paper;Pepa ti tan. e fi pepa si;
